,trigram,frequency,social_isolation_relevant
0,"('to', 'move', 'to')",6,1
1,"('place', 'to', 'live')",5,0
2,"('an', 'assisted', 'living')",5,0
3,"('out', 'of', 'state')",5,1
4,"('move', 'out', 'of')",5,1
5,"('to', 'move', 'out')",5,1
6,"('move', 'to', 'a')",4,1
7,"('out', 'of', 'home')",4,1
8,"('want', 'to', 'move')",4,1
9,"('No', 'place', 'to')",3,0
10,"('to', 'an', 'assisted')",3,0
11,"('to', 'assisted', 'living')",3,0
12,"('out', 'of', 'apartment')",3,1
13,"('moving', 'out', 'of')",3,1
14,"('Moving', 'out', 'of')",3,1
15,"('no', 'where', 'to')",3,0
16,"('loss', 'of', 'home')",3,0
17,"('having', 'to', 'move')",3,1
18,"('assisted', 'living', 'facility')",2,0
19,"('move', 'to', 'assisted')",2,0
20,"('Kicked', 'out', 'of')",2,1
21,"('from', 'another', 'state')",2,0
22,"('Moving', 'to', 'another')",2,1
23,"('to', 'another', 'facility')",2,0
24,"('Recently', 'moved', 'into')",2,1
25,"('Depressed', 'about', 'living')",2,0
26,"('about', 'living', 'arrangements')",2,1
27,"('to', 'another', 'state')",2,0
28,"('Evicted', 'Being', 'evicted')",2,1
29,"('to', 'move', 'in')",2,1
30,"('move', 'in', 'with')",2,1
31,"('with', 'living', 'arrangements')",2,1
32,"('living', 'arrangements', 'Moving')",2,1
33,"('where', 'to', 'live')",2,0
34,"('Being', 'evicted', 'from')",2,1
35,"('evicted', 'from', 'residence')",2,1
36,"('Recent', 'move', 'from')",2,1
37,"('Giving', 'away', 'property')",2,0
38,"('Loss', 'of', 'independence')",2,0
39,"('to', 'pay', 'rent')",2,0
40,"('for', 'reasons', 'unknown')",2,0
41,"('asked', 'to', 'move')",2,1
42,"('Evicted', 'from', 'apartment')",2,1
43,"('didnt', 'want', 'to')",2,0
44,"('to', 'a', 'new')",2,0
45,"('a', 'new', 'house')",2,1
46,"('move', 'to', 'new')",2,1
47,"('to', 'new', 'apartment')",2,1
48,"('to', 'a', 'nursing')",2,0
49,"('a', 'nursing', 'home')",2,0
