,word,frequency,social_isolation_relevant
0,problem,54,0
1,job,49,0
2,Possible,48,0
3,dignity,17,0
4,Death,15,0
5,possible,3,0
6,Fear,1,0
7,loosing,1,0
8,respect,1,0
9,Encarcerated,1,0
10,life,1,0
11,Mercy,1,0
12,killing,1,0
13,Unemployed,1,0
14,eye,1,0
15,Having,1,0
16,w,1,0
17,workers,1,0
18,comp,1,0
19,Loss,1,0
20,discussed,1,0
21,healthcare,1,0
22,providers,1,0
23,hx,1,0
24,attempts,1,0
25,Unspecified,1,0
26,profound,1,0
27,Possibly,1,0
28,possibly,1,0
29,upset,1,0
30,recent,1,0
31,phone,1,0
32,call,1,0
33,ipp,1,0
34,school,1,0
35,Job,1,0
