,trigram,frequency,social_isolation_relevant
0,"('isolation', 'Social', 'isolation')",406,1
1,"('Social', 'isolation', 'Social')",399,1
2,"('tired', 'of', 'living')",6,0
3,"('social', 'isolation', 'Social')",6,1
4,"('Tired', 'of', 'living')",4,0
5,"('Lonely', 'tired', 'of')",4,1
6,"('of', 'living', 'lonely')",3,1
7,"('Loneliness', 'Social', 'isolation')",3,1
8,"('Social', 'isolation', 'Loneliness')",3,1
9,"('isolation', 'hoarder', 'Social')",3,0
10,"('hoarder', 'Social', 'isolation')",3,0
11,"('Social', 'isolation', 'Isolation')",3,1
12,"('from', 'family', 'Loneliness')",2,1
13,"('Lack', 'of', 'intimate')",2,0
14,"('of', 'intimate', 'relationship')",2,0
15,"('Fear', 'of', 'being')",2,0
16,"('Felt', 'alone', 'Social')",2,1
17,"('romantic', 'feelings', 'Social')",2,0
18,"('feelings', 'Social', 'isolation')",2,1
19,"('and', 'social', 'isolation')",2,1
20,"('friends', 'Social', 'isolation')",2,1
21,"('isolation', 'Loneliness', 'Social')",2,1
22,"('Social', 'isolation', 'Felt')",2,1
23,"('Social', 'isolation', 'Loner')",2,1
24,"('Social', 'isolation', 'cutter')",2,0
25,"('isolation', 'cutter', 'Social')",2,0
26,"('cutter', 'Social', 'isolation')",2,0
27,"('Social', 'isolation', 'hoarder')",2,0
28,"('Social', 'isolation', 'Loss')",2,0
29,"('isolation', 'Loss', 'of')",2,0
30,"('of', 'a', 'pet')",2,0
31,"('isolation', 'Isolation', 'Social')",2,1
32,"('Isolation', 'Social', 'isolation')",2,1
33,"('Social', 'isolation', 'marijuana')",2,0
34,"('isolation', 'marijuana', 'use')",2,0
35,"('Social', 'isolation', 'Lack')",2,1
36,"('isolation', 'Lack', 'of')",2,1
37,"('a', 'loner', 'Social')",2,1
38,"('loner', 'Social', 'isolation')",2,1
39,"('Isolation', 'due', 'to')",2,1
40,"('pandemic', 'Social', 'isolation')",2,1
41,"('Social', 'isolation', 'Covid')",2,1
42,"('isolation', 'Covid', 'related')",2,0
43,"('Covid', 'related', 'schoolisolation')",2,0
44,"('related', 'schoolisolation', 'problem')",2,0
45,"('No', 'familyintimate', 'partner')",1,0
46,"('familyintimate', 'partner', 'Interpersonal')",1,0
47,"('partner', 'Interpersonal', 'problems')",1,0
48,"('Interpersonal', 'problems', 'Frigntened')",1,0
49,"('problems', 'Frigntened', 'to')",1,0
