,trigram,frequency,social_isolation_relevant
0,"('up', 'with', 'girlfriend')",12,1
1,"('breakup', 'with', 'girlfriend')",9,1
2,"('Recent', 'break', 'up')",9,1
3,"('Recent', 'breakup', 'with')",8,1
4,"('Break', 'up', 'with')",8,1
5,"('broke', 'up', 'with')",7,1
6,"('with', 'girlfriend', 'Recent')",6,1
7,"('Broke', 'up', 'with')",5,1
8,"('girlfriend', 'Recent', 'breakup')",5,1
9,"('break', 'up', 'with')",5,1
10,"('ended', 'their', 'relationship')",3,1
11,"('Recently', 'broke', 'up')",3,1
12,"('Possible', 'breakup', 'with')",3,1
13,"('girlfriend', 'Recent', 'break')",3,1
14,"('boyfriend', 'Recent', 'breakup')",3,1
15,"('up', 'with', 'boyfriend')",3,1
16,"('Girlfriend', 'ended', 'their')",2,1
17,"('prior', 'Recent', 'breakup')",2,1
18,"('with', 'girlfriend', 'Recently')",2,1
19,"('girlfriend', 'Recently', 'broke')",2,1
20,"('broken', 'up', 'with')",2,1
21,"('up', 'with', 'gf')",2,1
22,"('1', 'week', 'prior')",2,0
23,"('of', 'his', 'child')",2,0
24,"('girlfriend', 'a', 'few')",2,0
25,"('a', 'few', 'days')",2,0
26,"('few', 'days', 'before')",2,0
27,"('Girlfriend', 'wanted', 'to')",2,0
28,"('girlfriend', 'Possible', 'breakup')",2,1
29,"('with', 'livein', 'girlfriend')",2,0
30,"('with', 'girlfriend', 'Girlfriend')",2,0
31,"('up', 'with', 'her')",2,0
32,"('Recent', 'breakup', 'Recent')",2,1
33,"('with', 'boyfriend', 'Recent')",2,0
34,"('break', 'up', 'and')",2,1
35,"('Some', 'type', 'of')",1,0
36,"('type', 'of', 'separtion')",1,1
37,"('of', 'separtion', 'from')",1,1
38,"('separtion', 'from', 'a')",1,1
39,"('from', 'a', 'female')",1,0
40,"('a', 'female', 'friend')",1,0
41,"('female', 'friend', 'Left')",1,0
42,"('friend', 'Left', 'note')",1,0
43,"('Left', 'note', 'for')",1,0
44,"('note', 'for', 'exgirlfriend')",1,0
45,"('for', 'exgirlfriend', 'Turned')",1,0
46,"('exgirlfriend', 'Turned', 'down')",1,0
47,"('Turned', 'down', 'by')",1,0
48,"('down', 'by', 'prospective')",1,0
49,"('by', 'prospective', 'girlfriend')",1,0
