,word,frequency,social_isolation_relevant
0,girlfriend,33,0
1,Recent,23,0
2,breakup,18,1
3,break,11,0
4,relationship,9,0
5,Girlfriend,8,0
6,broke,8,0
7,Break,8,0
8,boyfriend,6,0
9,days,5,0
10,prior,5,0
11,Broke,5,0
12,friend,4,0
13,ended,4,0
14,week,4,0
15,Recently,3,0
16,broken,3,0
17,gf,3,0
18,Breakup,3,1
19,Possible,3,0
20,female,2,0
21,exgirlfriend,2,0
22,behavior,2,0
23,1,2,0
24,incident,2,0
25,child,2,0
26,weeks,2,0
27,wanted,2,0
28,livein,2,0
29,2,2,0
30,day,2,0
31,past,2,0
32,Relationship,2,0
33,previous,2,0
34,death,2,0
35,mother,2,0
36,Some,1,0
37,type,1,0
38,separtion,1,0
39,Left,1,0
40,note,1,0
41,Turned,1,0
42,prospective,1,0
43,11,1,0
44,long,1,0
45,time,1,0
46,Anniversary,1,0
47,cutting,1,0
48,grilfriendmother,1,0
49,3,1,0
