,bigram,frequency,social_isolation_relevant
0,"('custody', 'of')",31,1
1,"('Lost', 'custody')",15,1
2,"('taken', 'away')",13,0
3,"('to', 'see')",11,0
4,"('of', 'children')",10,0
5,"('his', 'children')",9,0
6,"('Unable', 'to')",9,0
7,"('of', 'her')",9,0
8,"('away', 'by')",8,0
9,"('see', 'his')",8,0
10,"('of', 'child')",7,0
11,"('her', 'children')",7,0
12,"('removed', 'from')",7,0
13,"('Children', 'taken')",6,1
14,"('Recently', 'lost')",6,0
15,"('children', 'Child')",5,0
16,"('protective', 'custody')",5,1
17,"('to', 'have')",5,0
18,"('his', 'child')",5,0
19,"('protective', 'services')",5,1
20,"('lost', 'custody')",5,1
21,"('custody', 'issues')",5,1
22,"('Custody', 'issues')",4,1
23,"('to', 'his')",4,0
24,"('children', 'Unable')",4,0
25,"('Loss', 'of')",4,0
26,"('social', 'services')",4,0
27,"('he', 'was')",4,0
28,"('from', 'home')",4,0
29,"('child', 'protective')",4,1
30,"('Child', 'taken')",3,1
31,"('child', 'Lost')",3,1
32,"('Custody', 'battle')",3,1
33,"('by', 'child')",3,0
34,"('have', 'children')",3,0
35,"('children', 'Possible')",3,0
36,"('of', 'custody')",3,0
37,"('was', 'not')",3,0
38,"('her', 'child')",3,0
39,"('parental', 'rights')",3,0
40,"('rights', 'to')",3,0
41,"('Children', 'removed')",3,1
42,"('from', 'the')",3,0
43,"('Child', 'custody')",3,1
44,"('Custody', 'dispute')",3,1
45,"('his', 'kids')",3,0
46,"('due', 'to')",3,0
47,"('of', 'their')",3,0
48,"('with', 'division')",2,0
49,"('division', 'of')",2,0
