,trigram,frequency,social_isolation_relevant
0,"('Lost', 'custody', 'of')",15,1
1,"('custody', 'of', 'her')",9,1
2,"('custody', 'of', 'children')",8,1
3,"('taken', 'away', 'by')",8,1
4,"('to', 'see', 'his')",7,0
5,"('Unable', 'to', 'see')",6,1
6,"('Children', 'taken', 'away')",5,1
7,"('lost', 'custody', 'of')",5,1
8,"('see', 'his', 'children')",4,1
9,"('children', 'Unable', 'to')",4,1
10,"('of', 'her', 'children')",4,0
11,"('child', 'protective', 'services')",4,1
12,"('Recently', 'lost', 'custody')",4,1
13,"('custody', 'of', 'child')",3,1
14,"('to', 'have', 'children')",3,0
15,"('of', 'custody', 'of')",3,1
16,"('Unable', 'to', 'have')",3,0
17,"('removed', 'from', 'home')",3,0
18,"('parental', 'rights', 'to')",3,0
19,"('rights', 'to', 'his')",3,0
20,"('Children', 'removed', 'from')",3,1
21,"('Child', 'custody', 'issues')",3,1
22,"('of', 'children', 'Child')",2,0
23,"('children', 'Child', 'taken')",2,1
24,"('Child', 'taken', 'away')",2,1
25,"('child', 'Lost', 'custody')",2,1
26,"('with', 'division', 'of')",2,0
27,"('to', 'his', 'child')",2,0
28,"('his', 'children', 'Possible')",2,1
29,"('see', 'his', 'child')",2,0
30,"('custody', 'of', 'daughter')",2,1
31,"('of', 'her', 'child')",2,0
32,"('Recent', 'protective', 'custody')",2,1
33,"('to', 'see', 'children')",2,0
34,"('Loss', 'of', 'custody')",2,1
35,"('custody', 'of', 'his')",2,1
36,"('by', 'child', 'protective')",2,1
37,"('away', 'by', 'social')",2,0
38,"('by', 'social', 'services')",2,0
39,"('from', 'the', 'home')",2,0
40,"('issues', 'Lost', 'custody')",2,1
41,"('he', 'was', 'not')",2,0
42,"('able', 'to', 'see')",2,0
43,"('Children', 'were', 'taken')",2,1
44,"('were', 'taken', 'away')",2,1
45,"('Custody', 'dispute', 'with')",2,1
46,"('dispute', 'with', 'ex')",2,0
47,"('custody', 'of', 'the')",2,1
48,"('children', 'were', 'removed')",2,1
49,"('were', 'removed', 'from')",2,0
