,bigram,frequency,social_isolation_relevant
0,"('divorce', 'papers')",7,1
1,"('Pending', 'divorce')",5,1
2,"('for', 'divorce')",5,1
3,"('from', 'wife')",5,0
4,"('Recent', 'separation')",5,1
5,"('divorce', 'Pending')",4,1
6,"('with', 'divorce')",4,1
7,"('a', 'divorce')",4,1
8,"('of', 'divorce')",3,1
9,"('divorce', 'Served')",3,1
10,"('Served', 'with')",3,0
11,"('divorce', 'Recent')",3,1
12,"('Going', 'through')",3,0
13,"('through', 'a')",3,0
14,"('filed', 'for')",3,0
15,"('separation', 'from')",3,0
16,"('and', 'kids')",2,0
17,"('the', 'day')",2,0
18,"('Recent', 'divorce')",2,1
19,"('Served', 'divorce')",2,1
20,"('day', 'of')",2,0
21,"('divorce', 'Going')",2,1
22,"('2', 'weeks')",2,0
23,"('divorce', 'Divorce')",2,1
24,"('Wife', 'recently')",2,0
25,"('recently', 'filed')",2,0
26,"('separation', 'Recently')",2,0
27,"('Divorce', 'proceedings')",2,1
28,"('Separation', 'from')",2,0
29,"('Talking', 'of')",1,0
30,"('papers', 'today')",1,0
31,"('today', 'Just')",1,0
32,"('Just', 'received')",1,0
33,"('received', 'divorce')",1,1
34,"('papers', 'Recent')",1,0
35,"('Recent', 'seperationwife')",1,1
36,"('seperationwife', 'and')",1,1
37,"('kids', 'left')",1,0
38,"('left', 'Finalizing')",1,0
39,"('Finalizing', 'of')",1,0
40,"('divorce', 'the')",1,1
41,"('the', 'following')",1,0
42,"('following', 'week')",1,0
43,"('week', 'Divorce')",1,1
44,"('Divorce', 'papers')",1,1
45,"('papers', 'were')",1,0
46,"('were', 'to')",1,0
47,"('to', 'be')",1,0
48,"('be', 'finalized')",1,0
49,"('finalized', 'the')",1,0
