,word,frequency,social_isolation_relevant
0,divorce,32,1
1,Recent,10,0
2,papers,9,0
3,Divorce,8,1
4,wife,7,0
5,separation,7,1
6,Pending,6,0
7,Served,5,0
8,Going,4,0
9,Recently,4,0
10,filed,4,0
11,finalized,3,0
12,day,3,0
13,spouse,3,0
14,financial,3,0
15,recently,3,0
16,Wife,3,0
17,today,2,0
18,received,2,0
19,kids,2,0
20,incident,2,0
21,paperwork,2,0
22,event,2,0
23,served,2,0
24,2,2,0
25,weeks,2,0
26,Was,2,0
27,job,2,0
28,proceedings,2,0
29,Separation,2,1
30,Talking,1,0
31,Just,1,0
32,seperationwife,1,1
33,left,1,0
34,Finalizing,1,0
35,following,1,0
36,week,1,0
37,1st,1,0
38,court,1,0
39,appearance,1,0
40,Parents,1,0
41,fatal,1,0
42,Filing,1,0
43,Upset,1,0
44,signing,1,0
45,house,1,0
46,exwife,1,0
47,Estranged,1,0
48,used,1,0
49,debit,1,0
