,bigram,frequency,social_isolation_relevant
0,"('out', 'of')",20,0
1,"('to', 'move')",20,1
2,"('move', 'to')",13,0
3,"('assisted', 'living')",12,0
4,"('of', 'home')",9,0
5,"('to', 'live')",8,0
6,"('to', 'a')",8,0
7,"('Being', 'evicted')",7,1
8,"('place', 'to')",6,0
9,"('living', 'arrangements')",6,1
10,"('from', 'residence')",6,0
11,"('evicted', 'from')",6,1
12,"('move', 'out')",6,1
13,"('want', 'to')",6,0
14,"('being', 'evicted')",5,1
15,"('an', 'assisted')",5,0
16,"('moving', 'out')",5,1
17,"('of', 'state')",5,0
18,"('to', 'another')",5,0
19,"('Recently', 'moved')",5,1
20,"('moved', 'to')",5,1
21,"('to', 'an')",4,0
22,"('living', 'facility')",4,0
23,"('another', 'state')",4,0
24,"('to', 'be')",4,0
25,"('to', 'new')",4,0
26,"('nursing', 'home')",4,0
27,"('did', 'not')",4,0
28,"('Giving', 'away')",4,0
29,"('Loss', 'of')",4,0
30,"('Evicted', 'from')",4,1
31,"('a', 'new')",4,0
32,"('No', 'place')",3,0
33,"('in', 'with')",3,0
34,"('Moving', 'to')",3,1
35,"('Recent', 'move')",3,1
36,"('of', 'residence')",3,0
37,"('to', 'assisted')",3,0
38,"('of', 'apartment')",3,0
39,"('Moving', 'out')",3,1
40,"('moved', 'into')",3,1
41,"('not', 'want')",3,0
42,"('move', 'from')",3,1
43,"('home', 'Evicted')",3,1
44,"('no', 'where')",3,0
45,"('where', 'to')",3,0
46,"('due', 'to')",3,0
47,"('to', 'pay')",3,0
48,"('from', 'home')",3,0
49,"('to', 'leave')",3,0
