,word,frequency,social_isolation_relevant
0,home,40,0
1,move,35,0
2,living,24,0
3,evicted,19,1
4,residence,19,0
5,Evicted,18,1
6,apartment,15,0
7,moving,13,1
8,assisted,12,0
9,eviction,12,1
10,moved,12,1
11,Recently,11,0
12,Moving,10,1
13,house,10,0
14,state,10,0
15,facility,9,0
16,new,9,0
17,live,8,0
18,Being,8,0
19,Moved,8,1
20,family,7,0
21,arrangements,7,0
22,another,7,0
23,want,7,0
24,No,6,0
25,place,6,0
26,Recent,6,0
27,prior,5,0
28,housing,5,0
29,Possible,5,0
30,away,5,0
31,property,5,0
32,retirement,5,0
33,selling,5,0
34,The,5,0
35,parents,4,0
36,Eviction,4,1
37,Had,4,0
38,rent,4,0
39,day,4,0
40,nursing,4,0
41,Pending,4,0
42,Giving,4,0
43,Loss,4,0
44,month,4,0
45,Upset,3,0
46,Move,3,0
47,country,3,0
48,process,3,0
49,sale,3,0
