,trigram,frequency,social_isolation_relevant
0,"('Possible', 'job', 'problem')",46,1
1,"('problem', 'Possible', 'job')",34,1
2,"('job', 'problem', 'Possible')",33,1
3,"('Death', 'with', 'dignity')",15,0
4,"('problem', 'Death', 'with')",10,0
5,"('job', 'problem', 'Death')",9,0
6,"('dignity', 'Possible', 'job')",8,1
7,"('with', 'dignity', 'Possible')",8,0
8,"('with', 'dignity', 'Death')",5,0
9,"('dignity', 'Death', 'with')",5,0
10,"('possible', 'job', 'problem')",2,1
11,"('Fear', 'of', 'loosing')",1,0
12,"('of', 'loosing', 'respect')",1,0
13,"('loosing', 'respect', 'and')",1,0
14,"('respect', 'and', 'dignity')",1,0
15,"('and', 'dignity', 'Encarcerated')",1,0
16,"('dignity', 'Encarcerated', 'for')",1,0
17,"('Encarcerated', 'for', 'life')",1,0
18,"('for', 'life', 'Mercy')",1,0
19,"('life', 'Mercy', 'killing')",1,0
20,"('Mercy', 'killing', 'Unemployed')",1,0
21,"('killing', 'Unemployed', 'eye')",1,0
22,"('Unemployed', 'eye', 'problem')",1,0
23,"('eye', 'problem', 'Possible')",1,0
24,"('job', 'problem', 'Having')",1,1
25,"('problem', 'Having', 'problem')",1,0
26,"('Having', 'problem', 'w')",1,0
27,"('problem', 'w', 'workers')",1,0
28,"('w', 'workers', 'comp')",1,0
29,"('workers', 'comp', 'Possible')",1,0
30,"('comp', 'Possible', 'job')",1,1
31,"('job', 'problem', 'Loss')",1,1
32,"('problem', 'Loss', 'of')",1,0
33,"('Loss', 'of', 'dignity')",1,0
34,"('of', 'dignity', 'Possible')",1,0
35,"('with', 'dignity', 'was')",1,0
36,"('dignity', 'was', 'discussed')",1,0
37,"('was', 'discussed', 'with')",1,0
38,"('discussed', 'with', 'healthcare')",1,0
39,"('with', 'healthcare', 'providers')",1,0
40,"('healthcare', 'providers', 'Possible')",1,0
41,"('providers', 'Possible', 'job')",1,1
42,"('problem', 'Possible', 'hx')",1,0
43,"('Possible', 'hx', 'of')",1,0
44,"('hx', 'of', 'attempts')",1,0
45,"('of', 'attempts', 'possible')",1,0
46,"('attempts', 'possible', 'job')",1,1
47,"('job', 'problem', 'Unspecified')",1,1
48,"('problem', 'Unspecified', 'profound')",1,0
49,"('Unspecified', 'profound', 'problem')",1,0
