,trigram,frequency,social_isolation_relevant
0,"('Recent', 'death', 'of')",11,0
1,"('Death', 'of', 'dog')",11,1
2,"('death', 'of', 'pet')",6,1
3,"('dog', 'Death', 'of')",6,1
4,"('Loss', 'of', 'dog')",6,1
5,"('of', 'pet', 'dog')",6,0
6,"('The', 'victims', 'dog')",6,1
7,"('of', 'family', 'dog')",5,0
8,"('his', 'dog', 'down')",5,1
9,"('the', 'victims', 'dog')",5,1
10,"('Loss', 'of', 'pet')",4,1
11,"('dog', 'Recent', 'death')",4,1
12,"('pet', 'Death', 'of')",4,1
13,"('dog', 'Loss', 'of')",4,1
14,"('put', 'his', 'dog')",4,0
15,"('recent', 'death', 'of')",4,0
16,"('Dog', 'died', 'Dog')",3,1
17,"('died', 'Dog', 'died')",3,1
18,"('Death', 'of', 'family')",3,0
19,"('dog', 'The', 'victim')",3,1
20,"('of', 'dog', 'Dog')",3,1
21,"('by', 'a', 'car')",3,0
22,"('death', 'of', 'dog')",3,1
23,"('death', 'of', 'his')",3,0
24,"('to', 'put', 'his')",3,0
25,"('was', 'put', 'down')",3,0
26,"('days', 'prior', 'to')",3,0
27,"('had', 'to', 'put')",3,0
28,"('to', 'put', 'down')",3,0
29,"('and', 'the', 'victim')",3,0
30,"('dog', 'had', 'been')",3,0
31,"('dog', 'Family', 'dog')",2,0
32,"('Family', 'dog', 'died')",2,1
33,"('of', 'dog', 'Death')",2,1
34,"('pet', 'dog', 'The')",2,1
35,"('pet', 'dog', 'Recent')",2,1
36,"('of', 'pet', 'Death')",2,1
37,"('dog', 'Dog', 'died')",2,1
38,"('to', 'be', 'put')",2,0
39,"('be', 'put', 'down')",2,0
40,"('prior', 'to', 'his')",2,0
41,"('died', 'Death', 'of')",2,0
42,"('of', 'dog', 'Loss')",2,1
43,"('Death', 'of', 'pet')",2,1
44,"('dog', 'Victims', 'dog')",2,0
45,"('Victims', 'dog', 'was')",2,0
46,"('of', 'his', 'pet')",2,0
47,"('dog', 'down', 'the')",2,0
48,"('the', 'same', 'day')",2,0
49,"('of', 'dog', 'The')",2,0
