,word,frequency,social_isolation_relevant
0,dog,111,0
1,died,34,0
2,death,29,0
3,pet,29,0
4,Dog,26,0
5,Death,24,0
6,The,19,0
7,victim,18,0
8,put,17,0
9,prior,16,0
10,Recent,13,0
11,family,13,0
12,victims,13,0
13,Loss,12,0
14,killed,12,0
15,dogs,12,0
16,recently,12,0
17,away,11,0
18,Victims,8,0
19,weeks,8,0
20,upset,7,0
21,day,7,0
22,dying,6,0
23,cancer,6,0
24,days,6,0
25,ran,5,0
26,2,5,0
27,due,5,0
28,Victim,5,0
29,passed,5,0
30,ago,4,0
31,Family,4,0
32,months,4,0
33,week,4,0
34,diagnosed,4,0
35,Dogs,4,0
36,last,4,0
37,recent,4,0
38,incident,4,0
39,beloved,4,0
40,horse,3,0
41,pets,3,0
42,caused,3,0
43,distraught,3,0
44,car,3,0
45,His,3,0
46,4,3,0
47,found,3,0
48,girlfriend,3,0
49,Pet,3,0
