,bigram,frequency,social_isolation_relevant
0,"('custody', 'of')",31,1
1,"('up', 'with')",31,1
2,"('Death', 'of')",24,1
3,"('with', 'girlfriend')",24,1
4,"('death', 'of')",21,1
5,"('of', 'dog')",20,1
6,"('Loss', 'of')",16,1
7,"('Lost', 'custody')",15,1
8,"('taken', 'away')",13,1
9,"('Recent', 'breakup')",13,1
10,"('of', 'her')",13,0
11,"('his', 'dog')",13,1
12,"('Dog', 'died')",12,1
13,"('of', 'pet')",12,1
14,"('to', 'see')",12,0
15,"('victims', 'dog')",12,1
16,"('Recent', 'death')",11,1
17,"('breakup', 'with')",11,1
18,"('prior', 'to')",11,0
19,"('of', 'children')",10,0
20,"('he', 'was')",10,0
21,"('put', 'down')",10,1
22,"('break', 'up')",10,1
23,"('family', 'dog')",9,1
24,"('to', 'his')",9,0
25,"('his', 'children')",9,1
26,"('Unable', 'to')",9,0
27,"('pet', 'dog')",9,1
28,"('broke', 'up')",9,1
29,"('dog', 'down')",9,1
30,"('to', 'put')",9,0
31,"('due', 'to')",9,0
32,"('Recent', 'break')",9,1
33,"('away', 'by')",8,0
34,"('dog', 'died')",8,1
35,"('see', 'his')",8,0
36,"('days', 'prior')",8,0
37,"('to', 'be')",8,0
38,"('of', 'his')",8,0
39,"('Break', 'up')",8,1
40,"('the', 'victim')",8,0
41,"('The', 'victims')",8,0
42,"('of', 'child')",7,1
43,"('of', 'family')",7,1
44,"('divorce', 'papers')",7,1
45,"('his', 'child')",7,1
46,"('Recently', 'lost')",7,1
47,"('the', 'day')",7,0
48,"('her', 'children')",7,1
49,"('of', 'the')",7,0
