,trigram,frequency,social_isolation_relevant
0,"('Lost', 'custody', 'of')",15,1
1,"('up', 'with', 'girlfriend')",13,1
2,"('Recent', 'death', 'of')",11,1
3,"('Death', 'of', 'dog')",11,1
4,"('breakup', 'with', 'girlfriend')",9,1
5,"('custody', 'of', 'her')",9,1
6,"('Recent', 'break', 'up')",9,1
7,"('custody', 'of', 'children')",8,1
8,"('taken', 'away', 'by')",8,1
9,"('Recent', 'breakup', 'with')",8,1
10,"('broke', 'up', 'with')",8,1
11,"('Break', 'up', 'with')",8,1
12,"('to', 'see', 'his')",7,
13,"('death', 'of', 'pet')",6,1
14,"('Loss', 'of', 'dog')",6,1
15,"('Unable', 'to', 'see')",6,1
16,"('of', 'pet', 'dog')",6,1
17,"('Broke', 'up', 'with')",6,1
18,"('The', 'victims', 'dog')",6,1
19,"('dog', 'Death', 'of')",5,1
20,"('of', 'family', 'dog')",5,1
21,"('Children', 'taken', 'away')",5,1
22,"('his', 'dog', 'down')",5,1
23,"('lost', 'custody', 'of')",5,1
24,"('the', 'victims', 'dog')",5,1
25,"('through', 'a', 'divorce')",5,1
26,"('break', 'up', 'with')",5,1
27,"('with', 'divorce', 'papers')",4,1
28,"('see', 'his', 'children')",4,1
29,"('ended', 'their', 'relationship')",4,1
30,"('Loss', 'of', 'pet')",4,1
31,"('of', 'her', 'children')",4,1
32,"('child', 'protective', 'services')",4,1
33,"('Recently', 'lost', 'custody')",4,1
34,"('put', 'his', 'dog')",4,1
35,"('days', 'prior', 'to')",4,1
36,"('recent', 'death', 'of')",4,1
37,"('up', 'with', 'boyfriend')",4,1
38,"('custody', 'of', 'child')",3,1
39,"('to', 'have', 'children')",3,1
40,"('Served', 'with', 'divorce')",3,1
41,"('of', 'custody', 'of')",3,1
42,"('Death', 'of', 'family')",3,1
43,"('his', 'children', 'Recent')",3,1
44,"('Recently', 'broke', 'up')",3,1
45,"('Unable', 'to', 'have')",3,1
46,"('removed', 'from', 'home')",3,1
47,"('parental', 'rights', 'to')",3,1
48,"('rights', 'to', 'his')",3,1
49,"('a', 'few', 'days')",3,0
