,word,frequency,social_isolation_relevant
0,dog,111,1
1,Recent,51,0
2,custody,44,1
3,children,44,0
4,girlfriend,37,1
5,divorce,36,1
6,child,35,0
7,died,34,0
8,death,32,0
9,pet,29,1
10,away,28,0
11,Dog,26,1
12,prior,26,0
13,Death,24,0
14,The,22,0
15,Lost,21,1
16,recently,21,0
17,breakup,20,1
18,victim,18,0
19,taken,17,0
20,Recently,17,0
21,put,17,0
22,Loss,16,1
23,victims,16,0
24,family,15,0
25,day,15,0
26,Children,15,0
27,see,15,0
28,issues,14,0
29,days,14,0
30,services,13,0
31,Custody,13,1
32,weeks,13,0
33,killed,12,0
34,dogs,12,1
35,relationship,12,1
36,home,12,0
37,2,12,0
38,Child,11,1
39,lost,11,1
40,break,11,0
41,protective,10,0
42,incident,10,0
43,papers,9,0
44,boyfriend,9,0
45,week,9,0
46,Unable,9,0
47,Girlfriend,9,0
48,broke,9,0
49,wife,9,0
